,title,year,genre,description,score,soup
2295,captain fantastic,2016,"comedy, drama","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",7.315472068640883,"captain fantastic english, esperanto matt ross comedy, drama viggo mortensen, george mackay, samantha isler, annalise basso, nicholas hamilton, shree crooks, charlie shotwell, trin miller, kathryn hahn, steve zahn, elijah stevenson, teddy van ee, erin moriarty, missi pyle, frank langella"
2296,the visit,2015,"horror, mystery, thriller",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,6.090693828888767,"the visit english m. night shyamalan horror, mystery, thriller olivia dejonge, ed oxenbould, deanna dunagan, peter mcrobbie, kathryn hahn, celia keenan-bolger, samuel stricklen, patch darragh, jorge cordova, steve annan, benjamin kanes, ocean james, seamus moroney"
2297,legend,2015,"biography, crime, drama",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,6.58059313755798,"legend english brian helgeland biography, crime, drama paul anderson, tom hardy, christopher eccleston, joshua hill, emily browning, colin morgan, tara fitzgerald, nicholas farrell, adam fogerty, mel raido, major johnson finley, millie brady, chris mason, stephen thompson, sam spruell"
2298,knock knock,2015,"drama, thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",5.408838733760453,"knock knock english, spanish eli roth drama, thriller keanu reeves, lorenza izzo, ana de armas, aaron burns, ignacia allamand, dan baily, megan baily, colleen camp, antonio quercia, otto"
2299,incredibles 2,2018,"animation, action, adventure","The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",7.269987494134249,"incredibles 2 english brad bird animation, action, adventure craig t. nelson, holly hunter, sarah vowell, huck milner, catherine keener, eli fucile, bob odenkirk, samuel l. jackson, michael bird, sophia bush, brad bird, phil lamarr, isabella rossellini, adam gates, jonathan banks"
2300,paper towns,2015,"comedy, drama, mystery","After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",6.136164115253349,"paper towns english jake schreier comedy, drama, mystery nat wolff, cara delevingne, austin abrams, justice smith, halston sage, jaz sinclair, cara buono, josiah cerio, hannah alligood, meg crosbie, griffin freeman, caitlin carver, rj shearer, susan macke miller, tom hillmann"
2301,the girl on the train,2016,"crime, drama, mystery",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,6.32234057912423,"the girl on the train english, spanish tate taylor crime, drama, mystery emily blunt, haley bennett, rebecca ferguson, justin theroux, luke evans, edgar ramírez, laura prepon, allison janney, darren goldstein, lisa kudrow, cleta elaine ellington, lana young, rachel christopher, fernando medina, gregory morley"
2302,allied,2016,"action, drama, romance","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",6.689083421909769,"allied english, french, german, arabic robert zemeckis action, drama, romance brad pitt, vincent ebrahim, xavier de guillebon, marion cotillard, camille cottin, michael mckell, vincent latorre, fleur poad, august diehl, miryam hayward, iselle rifat, aysha kanayo, anton blake, daniel betts, sally messham"
2303,the martian,2015,"adventure, drama, sci-fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",7.811587900760648,"the martian english, mandarin ridley scott adventure, drama, sci-fi matt damon, jessica chastain, kristen wiig, jeff daniels, michael peña, sean bean, kate mara, sebastian stan, aksel hennie, chiwetel ejiofor, benedict wong, mackenzie davis, donald glover, nick mohammed, shu chen"
2304,bridge of spies,2015,"drama, history, thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.253669460084247,"bridge of spies english, german, russian steven spielberg drama, history, thriller mark rylance, domenick lombardozzi, victor verhaeghe, mark fichera, brian hutchison, tom hanks, joshua harto, henny russell, rebekah brockman, alan alda, john rue, billy magnussen, amy ryan, jillian lebling, noah schnapp"
